"","NUTSID","m_e","m_e_pc","pps_pc"
"1","AT11","8958","7862.51",26600
"2","AT12","59861.49","52540.96",31100
"3","AT13","95384.86","83720.13",43700
"4","AT21","20877.48","18324.35",32600
"5","AT22","49014.96","43020.86",34500
"6","AT31","65815.66","57766.99",38700
"7","AT32","28553.06","25061.28",44800
"8","AT33","33994.71","29837.46",39300
"9","AT34","18439.66","16184.65",40600
"10","BE10","83233.87","74658.58",60900
"11","BE21","89919.27","80655.21",43000
"12","BE22","28759.37","25796.39",29200
"13","BE23","56311.96","50510.34",33000
"14","BE24","47197.63","42335.03",36500
"15","BE25","47251","42382.9",35200
"16","BE31","21141.19","18963.09",46500
"17","BE32","33639.18","30173.45",22300
"18","BE33","31476.12","28233.25",25300
"19","BE34","7165.66","6427.41",22100
"20","BE35","13452.04","12066.12",24100
"21","BG31","4210.31","7848.16",10800
"22","BG32","4607.46","8588.46",11200
"23","BG33","6219.61","11593.55",12600
"24","BG34","6390.38","11911.88",11700
"25","BG41","31190.71","58140.54",27800
"26","BG42","9020.47","16814.45",12000
"27","CY00","21894.9","24205.13",27100
"28","CZ01","58851","81841.9",61700
"29","CZ02","24554.7","34147.31",24500
"30","CZ03","21087.81","29326.04",23700
"31","CZ04","15252.17","21210.63",19000
"32","CZ05","25435.67","35372.44",23300
"33","CZ06","32092.18","44629.4",26200
"34","CZ07","19970.82","27772.68",22900
"35","CZ08","18561.03","25812.14",21600
"36","DE11","215475.57","194683.38",46900
"37","DE12","125426.43","113323.48",40300
"38","DE13","88676.25","80119.49",35200
"39","DE14","83177.93","75151.72",40300
"40","DE21","280964.19","253852.72",53800
"41","DE22","49951.56","45131.52",36200
"42","DE23","48408.94","43737.75",39300
"43","DE24","41380.64","37387.64",35100
"44","DE25","81477.3","73615.19",41500
"45","DE26","53915.99","48713.4",37000
"46","DE27","76286.13","68924.94",36200
"47","DE30","156034.81","140978.33",38400
"48","DE40","75624.39","68327.06",27000
"49","DE50","32572.78","29429.69",43200
"50","DE60","118901.2","107427.9",58100
"51","DE71","206915.95","186949.72",46500
"52","DE72","37108.87","33528.07",32000
"53","DE73","44611.66","40306.88",33100
"54","DE80","47032.33","42493.97",26400
"55","DE91","76806.55","69395.14",43600
"56","DE92","84639.05","76471.86",35600
"57","DE93","50119.79","45283.51",26300
"58","DE94","92830.44","83872.82",33000
"59","DEA1","216380.55","195501.04",37600
"60","DEA2","189355.59","171083.84",38200
"61","DEA3","91047.11","82261.57",31300
"62","DEA4","80833.3","73033.34",35500
"63","DEA5","125362.16","113265.41",31700
"64","DEB1","51594.09","46615.55",31100
"65","DEB2","16564.88","14966.47",28000
"66","DEB3","76664.5","69266.81",33600
"67","DEC0","34535","31202.57",31700
"68","DED2","51672.77","46686.64",29300
"69","DED4","41184.6","37210.52",26200
"70","DED5","35662.92","32221.64",30700
"71","DEE0","63930.37","57761.44",26400
"72","DEF0","99319.03","89735.3",30900
"73","DEG0","62984.44","56906.79",26800
"74","DK01","127838.27","95282.72",51500
"75","DK02","31007.8","23111.29",27600
"76","DK03","58517.33","43615.19",35700
"77","DK04","66466.58","49540.07",37300
"78","DK05","26026.23","19398.34",32900
"79","EE00","27464.98","34349.56",25800
"80","EL30","78993.18","95105.24",25400
"81","EL41","2330.79","2806.19",12200
"82","EL42","5066.36","6099.74",17500
"83","EL43","7877.6","9484.38",14900
"84","EL51","6509.48","7837.2",13100
"85","EL52","22555.95","27156.63",14600
"86","EL53","3381.19","4070.84",15500
"87","EL54","3685.35","4437.04",13400
"88","EL61","8672.05","10440.87",14700
"89","EL62","2618.66","3152.79",15500
"90","EL63","7537.58","9075",14000
"91","EL64","8497.85","10231.14",18400
"92","EL65","7679.87","9246.31",16200
"93","ES11","58638.07","61818.9",22900
"94","ES12","21271.13","22424.98",22100
"95","ES13","12838.52","13534.95",23200
"96","ES21","66421.85","70024.91",32000
"97","ES22","18942.13","19969.65",30400
"98","ES23","8113.67","8553.8",27100
"99","ES24","35464.3","37388.06",28100
"100","ES30","218468.53","230319.38",34100
"101","ES41","54822.91","57796.78",24200
"102","ES42","39341.94","41476.05",20300
"103","ES43","18890.62","19915.34",18800
"104","ES51","212438.35","223962.1",29300
"105","ES52","104671.08","110348.97",21900
"106","ES53","26186.46","27606.94",22700
"107","ES61","148844.17","156918.25",18500
"108","ES62","29720.17","31332.35",20800
"109","ES63","1662.63","1752.82",20900
"110","ES64","1522.34","1604.92",19000
"111","ES70","38604.77","40698.89",18100
"112","FI19","52633.98","41891.36",30400
"113","FI1B","94201.34","74974.8",44200
"114","FI1C","43808.94","34867.52",30400
"115","FI1D","46108.26","36697.55",28700
"116","FI20","1201.73","956.46",31900
"117","FR10","700754.35","646184.1",52300
"118","FRB0","72707.3","67045.32",25900
"119","FRC1","46163.67","42568.74",26100
"120","FRC2","30757.92","28362.69",23900
"121","FRD1","39394.51","36326.72",24500
"122","FRD2","52622","48524.13",26000
"123","FRE1","114219.43","105324.76",25700
"124","FRE2","48786.45","44987.28",23200
"125","FRF1","60189.01","55501.87",28700
"126","FRF2","37429.6","34514.82",26000
"127","FRF3","58277.36","53739.1",23000
"128","FRG0","118142.74","108942.54",28200
"129","FRH0","100394.63","92576.55",27200
"130","FRI1","104797.14","96636.21",27400
"131","FRI2","18920.15","17446.77",23900
"132","FRI3","50982.24","47012.07",25600
"133","FRJ1","74616.44","68805.79",23700
"134","FRJ2","93952.12","86635.73",27700
"135","FRK1","38361.4","35374.06",25700
"136","FRK2","232088.38","214014.83",31600
"137","FRL0","162752.61","150078.48",29200
"138","FRM0","9083.98","8376.57",24100
"139","FRY1","9219.3","8501.36",20400
"140","FRY2","8788.07","8103.72",22400
"141","FRY3","4424.65","4080.09",14100
"142","FRY4","18972.99","17495.5",20100
"143","FRY5","2711.64","2500.47",8700
"144","HR03","15133.19","23624.99",17700
"145","HR04","35291.71","55095.23",21800
"146","HU11","51000.58","80731.31",46500
"147","HU12","14717.25","23296.66",17900
"148","HU21","13516.48","21395.9",20200
"149","HU22","13280.27","21021.98",21100
"150","HU23","8378.92","13263.39",15200
"151","HU31","10658.87","16872.45",15100
"152","HU32","13438.67","21272.72",14800
"153","HU33","12835.43","20317.83",16600
"154","IE04","25276.41","20798.32",23700
"155","IE05","153867.66","126607.75",77000
"156","IE06","193692.22","159376.8",64800
"157","ITC1","126631.05","128064.61",29800
"158","ITC2","4444.74","4495.06",36100
"159","ITC3","45274.22","45786.76",30100
"160","ITC4","372830.66","377051.37",37700
"161","ITF1","30569.16","30915.22",24000
"162","ITF2","6128.23","6197.6",20800
"163","ITF3","102667.15","103829.42",18300
"164","ITF4","72542.41","73363.65",18600
"165","ITF5","11620.89","11752.44",21400
"166","ITF6","31075.49","31427.28",16700
"167","ITG1","83973.26","84923.9",17500
"168","ITG2","32592.15","32961.12",20600
"169","ITH1","23917.25","24188.01",45300
"170","ITH2","20138.58","20366.57",37500
"171","ITH3","152276.67","154000.55",31600
"172","ITH4","36635.48","37050.22",30800
"173","ITH5","151941.59","153661.68",34500
"174","ITI1","107769.35","108989.37",29500
"175","ITI2","21189.38","21429.26",24700
"176","ITI3","39607.88","40056.27",26600
"177","ITI4","185807.52","187910.99",32700
"178","LT01","21219.92","31322.99",38000
"179","LT02","28549.66","42142.52",21400
"180","LU00","64780.99","49558.2",78500
"181","LV00","30251.19","41045.77",21600
"182","MT00","13149.45","15138.19",29300
"183","NL11","22993.62","19729.9",33700
"184","NL12","21178.6","18172.5",27900
"185","NL13","15438.33","13247.01",26800
"186","NL21","45282.34","38854.95",33400
"187","NL22","81930.7","70301.44",33600
"188","NL23","14523.53","12462.05",29300
"189","NL31","77049.11","66112.74",50000
"190","NL32","169827.28","145721.95",50500
"191","NL33","167105.31","143386.34",38200
"192","NL34","14272.1","12246.31",31900
"193","NL41","120838.58","103686.72",40400
"194","NL42","45236.31","38815.46",34700
"195","PL21","42643.08","71056.88",20800
"196","PL22","61430.55","102362.75",22700
"197","PL41","52548.64","87562.67",25000
"198","PL42","19422.45","32363.96",19100
"199","PL43","11259.6","18762.06",18600
"200","PL51","44034.69","73375.74",25300
"201","PL52","10549.74","17579.21",17900
"202","PL61","23057.86","38421.69",18600
"203","PL62","13656.2","22755.56",16000
"204","PL63","30616.13","51016.17",21700
"205","PL71","32511.9","54175.11",22100
"206","PL72","12147.31","20241.26",16500
"207","PL81","19692.29","32813.6",15600
"208","PL82","20096.03","33486.35",15800
"209","PL84","11837.86","19725.63",16800
"210","PL91","93191.19","155286.03",50200
"211","PL92","27451.67","45743.17",19600
"212","PT11","60578.91","71230.59",19900
"213","PT15","8527.88","10027.35",22900
"214","PT16","38529.71","45304.45",20400
"215","PT17","71642.26","84239.23",29400
"216","PT18","12476.53","14670.29",20900
"217","PT20","4163.07","4895.07",20200
"218","PT30","4449.63","5232.01",20600
"219","RO11","27311.1","52109.3",20500
"220","RO12","25089.96","47871.39",20700
"221","RO21","23810.38","45429.97",14300
"222","RO22","21210.59","40469.6",17100
"223","RO31","24864.53","47441.27",16400
"224","RO32","60999.9","116387.2",50100
"225","RO41","16740.11","31939.96",16800
"226","RO42","20305.31","38742.33",21900
"227","SE11","153963.04","121983.73",51100
"228","SE12","68533.2","54298.33",31300
"229","SE21","34242.32","27129.92",31100
"230","SE22","62462.41","49488.49",32100
"231","SE23","91160.23","72225.55",35000
"232","SE31","31952.25","25315.52",29500
"233","SE32","14679.32","11630.31",30900
"234","SE33","23469.11","18594.4",35600
"235","SI03","20404.01","24425.23",22100
"236","SI04","26616.64","31862.25",31900
"237","SK01","26480.92","33361.57",49500
"238","SK02","28847.97","36343.67",19900
"239","SK03","18180.94","22904.98",17100
"240","SK04","19903.93","25075.66",15400
