"","Country","NUTSID","Population"
"1","AT","AT11",292683
"2","AT","AT12",1671321
"3","AT","AT13",1884616
"4","AT","AT21",560971
"5","AT","AT22",1240188
"6","AT","AT31",1473572
"7","AT","AT32",552354
"8","AT","AT33",750666
"9","AT","AT34",391597
"10","BE","BE10",1206626
"11","BE","BE21",1849619
"12","BE","BE22",872748
"13","BE","BE23",1506999
"14","BE","BE24",1138611
"15","BE","BE25",1192552
"16","BE","BE31",401838
"17","BE","BE32",1343964
"18","BE","BE33",1108159
"19","BE","BE34",285437
"20","BE","BE35",495392
"21","BG","BG31",755961
"22","BG","BG32",794869
"23","BG","BG33",934001
"24","BG","BG34",1039251
"25","BG","BG41",2108648
"26","BG","BG42",1417915
"27","CY","CY00",864979
"28","CZ","CZ01",1294551
"29","CZ","CZ02",1353703
"30","CZ","CZ03",1221743
"31","CZ","CZ04",1116859
"32","CZ","CZ05",1510982
"33","CZ","CZ06",1692276
"34","CZ","CZ07",1216423
"35","CZ","CZ08",1206355
"36","DE","DE11",4122795
"37","DE","DE12",2793409
"38","DE","DE13",2252959
"39","DE","DE14",1845788
"40","DE","DE21",4656340
"41","DE","DE22",1229321
"42","DE","DE23",1104018
"43","DE","DE24",1065572
"44","DE","DE25",1760034
"45","DE","DE26",1313236
"46","DE","DE27",1873038
"47","DE","DE30",3611050
"48","DE","DE40",2503535
"49","DE","DE50",680924
"50","DE","DE60",1827400
"51","DE","DE71",3976003
"52","DE","DE72",1045571
"53","DE","DE73",1219146
"54","DE","DE80",1610489
"55","DE","DE91",1595913
"56","DE","DE92",2144634
"57","DE","DE93",1707108
"58","DE","DE94",2515982
"59","DE","DEA1",5197310
"60","DE","DEA2",4454183
"61","DE","DEA3",2621383
"62","DE","DEA4",2054619
"63","DE","DEA5",3584133
"64","DE","DEB1",1493709
"65","DE","DEB2",529777
"66","DE","DEB3",2051372
"67","DE","DEC0",993782
"68","DE","DED2",1598976
"69","DE","DED4",1445181
"70","DE","DED5",1036186
"71","DE","DEE0",2222551
"72","DE","DEF0",2889486
"73","DE","DEG0",2150826
"74","DK","DK01",1821875
"75","DK","DK02",834772
"76","DK","DK03",1220445
"77","DK","DK04",1312842
"78","DK","DK05",588746
"79","EE","EE00",1319863
"80","EL","EL30",3757416
"81","EL","EL41",211978
"82","EL","EL42",341093
"83","EL","EL43",633703
"84","EL","EL51",48
"85","EL","EL52",1876632
"86","EL","EL53",269239
"87","EL","EL54",334428
"88","EL","EL61",722193
"89","EL","EL62",204621
"90","EL","EL63",659543
"91","EL","EL64",555781
"92","EL","EL65",576793
"93","ES","ES11",2704602
"94","ES","ES12",1028044
"95","ES","ES13",581475
"96","ES","ES21",2172024
"97","ES","ES22",644722
"98","ES","ES23",313026
"99","ES","ES24",1316598
"100","ES","ES30",6556002
"101","ES","ES41",2420747
"102","ES","ES42",2036150
